,uri,full_uri,layer_size,digest,media_type,schema_version
82,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,62903461,sha256:2d475222c44147c5b4cbe4ea16ce1ed228169886b6292cd1584d0213ca71218d,application/vnd.docker.image.rootfs.diff.tar.gzip,2
83,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
84,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,4205048,sha256:d7ddf23b29e97f0fb23c7f1a12da9634e7b049fd9f1f0f8c6f500978b67839ab,application/vnd.docker.image.rootfs.diff.tar.gzip,2
85,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,923,sha256:060a75e60ce26027b455da94e5a4a8875297139bee8baed850996f6983a1d1c4,application/vnd.docker.image.rootfs.diff.tar.gzip,2
86,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,2756,sha256:00ffb3963f0e8c7b15907724fdb478c2f664ea51b67d6d406c39f65ae7b11f78,application/vnd.docker.image.rootfs.diff.tar.gzip,2
87,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,2775186,sha256:88d2b6bd2e6b8fa256cc0b6634fcceac40a917e985be561c4c0140a48251c4c6,application/vnd.docker.image.rootfs.diff.tar.gzip,2
88,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
89,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,3738708,sha256:963fbff35f66fcb70e010a94e30e8f08994adae965a774e03d5a20fbf1312ee1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
90,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,30439866,sha256:9b857f539cb142c9aa2201a17bb8e1cd5cf12edd4a65adf5732fe9f4343964cf,application/vnd.docker.image.rootfs.diff.tar.gzip,2
91,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,183284920,sha256:95a092ea8938db7729849304b60d98287aa6d3a28cd8144076922768419c9e3d,application/vnd.docker.image.rootfs.diff.tar.gzip,2
92,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,129858404,sha256:e8081507e9ee9e6ed8309c389855b80804a53df0f11d5c398336a739fffdcf4d,application/vnd.docker.image.rootfs.diff.tar.gzip,2
93,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,55517828,sha256:dceea02ba2fcf86c1fcb65fa979f7f6803bce48bb6a6da480902e1b0bf49ebc5,application/vnd.docker.image.rootfs.diff.tar.gzip,2
94,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,29483910,sha256:ca850bcd26f19c921f3de967874d93f9bce86ee377361868f578f810505c2837,application/vnd.docker.image.rootfs.diff.tar.gzip,2
95,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,18091250,sha256:9724542825ebd75991ca5bda727e385c980a76b90f993869a5758bc1a661ec15,application/vnd.docker.image.rootfs.diff.tar.gzip,2
96,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,865749,sha256:01fce0fdee101dd9891da45c5bba20166aa3c5603dc2d50309395dd72ce9965c,application/vnd.docker.image.rootfs.diff.tar.gzip,2
97,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,615472,sha256:fc76be393226c0238cbc122408b45b4fbff5cabf17d369d8f0be9d3396f30d31,application/vnd.docker.image.rootfs.diff.tar.gzip,2
98,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,112,sha256:286e2e7eb7bf8eede8a9d744b09267442d17bf93b8a57f7c34bbe6724973e40e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
99,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,1920507,sha256:6d34600ecb03b0fb05a2230614d226821a915ca26db9f94f200c8b78feccec80,application/vnd.docker.image.rootfs.diff.tar.gzip,2
100,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
101,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,339030,sha256:d05441776846837e8a7a0cfa312ed16c563dc1bc0e6bfb0d953f9c22661ad15a,application/vnd.docker.image.rootfs.diff.tar.gzip,2
102,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,1276,sha256:113b6a270881e7340ab04ab9eca18c1733e258cfcc0a3a35443f365466474716,application/vnd.docker.image.rootfs.diff.tar.gzip,2
103,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,97764593,sha256:29d120eac74001475a89d6a4503379c6995ab1619a899af38ceb7226162151df,application/vnd.docker.image.rootfs.diff.tar.gzip,2
104,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,37807546,sha256:ad6099fb8303524f19a12317ac0f2f26062d3c78a7a197b9c656cd6807a6807e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
105,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,22336572,sha256:c2f3679a139fff8c42e476b78d6507f93ab5c28757bddf2e78b1e25cb4b4ea1a,application/vnd.docker.image.rootfs.diff.tar.gzip,2
106,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,92648800,sha256:79ee6d9f2394ebfd1edd1bb857c84140e54dae9da355ade9e2894e6257c32a5f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
107,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,119074957,sha256:9718581ee9eb86704dc9eec1c2307c91f547da2300b3a51aa118fc7e3253c989,application/vnd.docker.image.rootfs.diff.tar.gzip,2
108,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:cpu-zen4,14030477,sha256:95f6de7966202940d7e1955b52f2ab0910df4e703bd1a8b4d8cf5eb436fb04e6,application/vnd.docker.image.rootfs.diff.tar.gzip,2
