Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
262144                 17.15
524288                 27.76
1048576                49.35
2097152                92.80
4194304               176.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.85
2                       7.85
4                      15.69
8                      31.37
16                     61.95
32                    124.12
64                    247.15
128                   490.26
256                   927.58
512                  1766.80
1024                 3337.64
2048                 6059.32
4096                 9153.61
8192                13660.65
16384               18997.44
32768               21852.48
65536               23372.58
131072              24023.48
262144              24353.22
524288              24528.54
1048576             24612.17
2097152             24653.00
4194304             24603.01
Point-to-point pairwise experiments for nodes cluster-256-hpc-117 cluster-256-hpc-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.74
64                      1.79
128                     1.84
256                     2.34
512                     2.50
1024                    2.60
2048                    2.76
4096                    3.48
8192                    3.99
16384                   5.30
32768                   6.77
65536                   8.96
131072                 13.75
262144                 17.22
524288                 27.94
1048576                49.56
2097152                92.40
4194304               176.82
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.01
2                       7.96
4                      15.62
8                      32.21
16                     64.32
32                    128.43
64                    248.03
128                   486.73
256                   943.74
512                  1775.70
1024                 3416.28
2048                 6181.42
4096                 9193.07
8192                13742.23
16384               18964.25
32768               21848.12
65536               23349.03
131072              24008.05
262144              24351.75
524288              24528.10
1048576             24610.92
2097152             24652.87
4194304             24671.21
Point-to-point pairwise experiments for nodes cluster-256-hpc-117 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.54
1                       1.53
2                       1.53
4                       1.54
8                       1.54
16                      1.56
32                      1.70
64                      1.75
128                     1.80
256                     2.28
512                     2.38
1024                    2.55
2048                    2.70
4096                    3.43
8192                    3.97
16384                   5.25
32768                   6.82
65536                   8.90
131072                 13.66
262144                 17.10
524288                 27.67
1048576                49.87
2097152                91.73
4194304               176.70
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.08
2                       7.86
4                      16.35
8                      32.51
16                     64.92
32                    128.49
64                    248.96
128                   493.24
256                   945.75
512                  1766.99
1024                 3394.18
2048                 6118.89
4096                 9213.08
8192                13711.40
16384               19113.11
32768               21864.35
65536               23377.42
131072              24020.03
262144              24358.32
524288              24529.49
1048576             24612.22
2097152             24652.95
4194304             24673.21
Point-to-point pairwise experiments for nodes cluster-256-hpc-117 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.72
64                      1.77
128                     1.81
256                     2.32
512                     2.42
1024                    2.64
2048                    2.73
4096                    3.47
8192                    3.99
16384                   5.31
32768                   6.83
65536                   8.87
131072                 13.67
262144                 17.16
524288                 27.78
1048576                49.47
2097152                92.31
4194304               176.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.91
2                       7.81
4                      15.69
8                      30.33
16                     62.89
32                    124.05
64                    248.34
128                   485.56
256                   929.74
512                  1691.57
1024                 3273.56
2048                 5911.01
4096                 9197.63
8192                13839.21
16384               18944.62
32768               22034.42
65536               22925.61
131072              23791.57
262144              24268.97
524288              24530.12
1048576             24609.43
2097152             24642.30
4194304             24671.76
Point-to-point pairwise experiments for nodes cluster-256-hpc-36 cluster-256-hpc-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.60
2                       1.60
4                       1.60
8                       1.60
16                      1.61
32                      1.75
64                      1.81
128                     1.88
256                     2.37
512                     2.52
1024                    2.63
2048                    2.78
4096                    3.51
8192                    4.02
16384                   5.32
32768                   6.89
65536                   9.04
131072                 14.02
262144                 17.28
524288                 27.94
1048576                50.29
2097152                91.99
4194304               176.91
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.90
2                       7.63
4                      15.51
8                      31.05
16                     62.34
32                    122.19
