Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            6,      3.250,   17.75,   24.58,   7.56,      1.625,   50.42,    8.65,   5.32,      6.500,   21.57,   40.45,   6.22,     3.250,   29.03,   15.03,   4.62
            7,      3.750,   20.12,   25.02,   6.67,      1.875,   68.47,    7.35,   3.92,      7.500,   34.82,   28.91,   3.85,     3.750,   34.05,   14.78,   3.94
            8,      4.250,   23.67,   24.10,   5.67,      2.125,   62.80,    9.08,   4.27,      8.500,   31.84,   35.83,   4.22,     4.250,   33.61,   16.97,   3.99
            9,      4.750,   24.69,   25.83,   5.44,      2.375,   55.03,   11.59,   4.88,      9.500,   31.97,   39.88,   4.20,     4.750,   34.27,   18.60,   3.92
           10,      5.250,   21.84,   32.27,   6.15,      2.625,   60.24,   11.70,   4.46,     10.500,   33.23,   42.41,   4.04,     5.250,   30.99,   22.74,   4.33
           11,      5.750,   25.42,   30.36,   5.28,      2.875,   59.25,   13.02,   4.53,     11.500,   34.08,   45.29,   3.94,     5.750,   25.68,   30.05,   5.23
           12,      6.250,   10.42,   80.50,  12.88,      3.125,   71.95,   11.66,   3.73,     12.500,   31.54,   53.19,   4.26,     6.250,   25.78,   32.54,   5.21
           13,      6.750,   12.66,   71.58,  10.60,      3.375,   64.47,   14.05,   4.16,     13.500,   34.02,   53.26,   3.95,     6.750,   36.05,   25.13,   3.72
           14,      7.250,   13.55,   71.81,   9.90,      3.625,   66.22,   14.70,   4.05,     14.500,   34.98,   55.64,   3.84,     7.250,   33.07,   29.42,   4.06
           15,      7.750,   25.62,   40.60,   5.24,      3.875,   65.24,   15.94,   4.11,     15.500,   31.85,   65.32,   4.21,     7.750,   32.53,   31.98,   4.13
           16,      8.250,   23.19,   47.75,   5.79,      4.125,   69.12,   16.02,   3.88,     16.500,   24.28,   91.19,   5.53,     8.250,   33.35,   33.21,   4.02
            0,      0.250,   18.21,    1.84,   7.37,      0.125,   46.18,    0.73,   5.81,      0.500,   20.72,    3.24,   6.48,     0.250,   14.48,    2.32,   9.27
            1,      0.750,   14.32,    7.03,   9.37,      0.375,   41.33,    2.44,   6.49,      1.500,   20.78,    9.69,   6.46,     0.750,   15.88,    6.34,   8.45
            2,      1.250,   13.44,   12.48,   9.98,      0.625,   44.43,    3.78,   6.04,      2.500,   18.41,   18.22,   7.29,     1.250,   17.73,    9.46,   7.57
            3,      1.750,   19.41,   12.10,   6.91,      0.875,   43.02,    5.46,   6.24,      3.500,   20.67,   22.72,   6.49,     1.750,   17.62,   13.33,   7.62
            4,      2.250,   20.76,   14.55,   6.47,      1.125,   50.37,    6.00,   5.33,      4.500,   17.71,   34.10,   7.58,     2.250,   11.47,   26.33,  11.70
            5,      2.750,   19.72,   18.72,   6.81,      1.375,   47.39,    7.79,   5.66,      5.500,   20.55,   35.92,   6.53,     2.750,   25.76,   14.33,   5.21
            6,      3.250,   25.43,   17.15,   5.28,      1.625,   65.68,    6.64,   4.09,      6.500,   25.42,   34.32,   5.28,     3.250,   26.60,   16.40,   5.05
            7,      3.750,   20.65,   24.37,   6.50,      1.875,   62.59,    8.04,   4.29,      7.500,   24.40,   41.25,   5.50,     3.750,   31.09,   16.19,   4.32
            8,      4.250,   25.63,   22.25,   5.24,      2.125,   61.12,    9.33,   4.39,      8.500,   23.85,   47.84,   5.63,     4.250,   22.17,   25.73,   6.06
            9,      4.750,   27.83,   22.91,   4.82,      2.375,   61.14,   10.43,   4.39,      9.500,   25.94,   49.16,   5.17,     4.750,   34.13,   18.68,   3.93
           10,      5.250,   28.89,   24.39,   4.65,      2.625,   66.70,   10.56,   4.02,     10.500,   31.66,   44.51,   4.24,     5.250,   26.98,   26.12,   4.98
           11,      5.750,   25.33,   30.46,   5.30,      2.875,   68.61,   11.25,   3.91,     11.500,   23.88,   64.63,   5.62,     5.750,   35.69,   21.62,   3.76
           12,      6.250,   30.29,   27.70,   4.43,      3.125,   68.53,   12.24,   3.92,     12.500,   28.03,   59.86,   4.79,     6.250,   34.87,   24.05,   3.85
           13,      6.750,   31.16,   29.07,   4.31,      3.375,   62.99,   14.38,   4.26,     13.500,   29.70,   61.01,   4.52,     6.750,   19.17,   47.26,   7.00
           14,      7.250,   33.87,   28.73,   3.96,      3.625,   60.85,   15.99,   4.41,     14.500,   33.81,   57.57,   3.97,     7.250,   36.33,   26.79,   3.69
           15,      7.750,   32.47,   32.04,   4.13,      3.875,   59.34,   17.53,   4.52,     15.500,   34.98,   59.48,   3.84,     7.750,   30.87,   33.70,   4.35
           16,      8.250,   34.62,   31.98,   3.88,      4.125,   69.31,   15.98,   3.87,     16.500,   30.01,   73.79,   4.47,     8.250,   34.40,   32.19,   3.90
            0,      0.250,   21.02,    1.60,   6.38,      0.125,   49.08,    0.68,   5.47,      0.500,   15.93,    4.21,   8.43,     0.250,   19.21,    1.75,   6.99
            1,      0.750,   20.27,    4.97,   6.62,      0.375,   39.66,    2.54,   6.77,      1.500,   20.90,    9.63,   6.42,     0.750,   20.93,    4.81,   6.41
            2,      1.250,   16.76,   10.01,   8.01,      0.625,   53.95,    3.11,   4.98,      2.500,   18.59,   18.05,   7.22,     1.250,   18.60,    9.02,   7.22
            3,      1.750,   16.18,   14.52,   8.30,      0.875,   41.77,    5.62,   6.43,      3.500,   19.26,   24.38,   6.97,     1.750,   21.00,   11.18,   6.39
            4,      2.250,   21.02,   14.37,   6.39,      1.125,   48.24,    6.26,   5.56,      4.500,   21.27,   28.39,   6.31,     2.250,   17.09,   17.67,   7.85
            5,      2.750,   21.13,   17.47,   6.35,      1.375,   53.19,    6.94,   5.05,      5.500,   19.56,   37.75,   6.86,     2.750,   25.76,   14.33,   5.21
            6,      3.250,   25.11,   17.37,   5.34,      1.625,   68.50,    6.37,   3.92,      6.500,   25.63,   34.03,   5.24,     3.250,   32.80,   13.30,   4.09
            7,      3.750,   44.22,   11.38,   3.04,      1.875,   56.31,    8.94,   4.77,      7.500,   25.88,   38.89,   5.19,     3.750,   36.17,   13.91,   3.71
            8,      4.250,   25.79,   22.11,   5.20,      2.125,   71.71,    7.95,   3.74,      8.500,   18.85,   60.51,   7.12,     4.250,   36.45,   15.65,   3.68
            9,      4.750,   23.31,   27.35,   5.76,      2.375,   66.44,    9.60,   4.04,      9.500,   28.05,   45.46,   4.79,     4.750,   30.04,   21.22,   4.47
           10,      5.250,   18.60,   37.89,   7.22,      2.625,   71.58,    9.84,   3.75,     10.500,   30.77,   45.80,   4.36,     5.250,   33.29,   21.16,   4.03
           11,      5.750,   25.90,   29.79,   5.18,      2.875,   66.11,   11.67,   4.06,     11.500,   30.96,   49.85,   4.33,     5.750,   35.28,   21.88,   3.80
           12,      6.250,   25.74,   32.59,   5.22,      3.125,   70.27,   11.94,   3.82,     12.500,   26.12,   64.22,   5.14,     6.250,   30.90,   27.15,   4.34
           13,      6.750,   13.08,   69.24,  10.26,      3.375,   66.41,   13.64,   4.04,     13.500,   32.13,   56.39,   4.18,     6.750,   34.19,   26.50,   3.93
           14,      7.250,   19.24,   50.58,   6.98,      3.625,   70.86,   13.73,   3.79,     14.500,   29.22,   66.61,   4.59,     7.250,   28.08,   34.65,   4.78
           15,      7.750,   23.96,   43.41,   5.60,      3.875,   71.27,   14.60,   3.77,     15.500,   33.44,   62.21,   4.01,     7.750,   31.79,   32.72,   4.22
           16,      8.250,   25.40,   43.59,   5.28,      4.125,   67.58,   16.39,   3.97,     16.500,   33.48,   66.14,   4.01,     8.250,   30.28,   36.57,   4.43
           17,      8.750,   21.67,   54.20,   6.19,      4.375,   65.86,   17.83,   4.08,     17.500,   22.63,  103.81,   5.93,     8.750,   24.05,   48.82,   5.58
           18,      9.250,   20.37,   60.96,   6.59,      4.625,   57.13,   21.73,   4.70,     18.500,   23.91,  103.86,   5.61,     9.250,   34.09,   36.42,   3.94
           20,     10.250,   22.27,   61.77,   6.03,      5.125,   62.42,   22.04,   4.30,     20.500,   24.08,  114.24,   5.57,    10.250,   32.66,   42.12,   4.11
           22,     11.250,   23.57,   64.06,   5.69,      5.625,   67.06,   22.52,   4.00,     22.500,   24.52,  123.17,   5.47,    11.250,   31.99,   47.20,   4.20
           24,     12.250,   22.75,   72.27,   5.90,      6.125,   65.05,   25.28,   4.13,     24.500,   20.73,  158.62,   6.47,    12.250,   35.82,   45.91,   3.75
           28,     14.250,   22.77,   83.99,   5.89,      7.125,   65.30,   29.29,   4.11,     28.500,   23.19,  164.98,   5.79,    14.250,   29.44,   64.97,   4.56
           32,     16.250,   34.67,   62.91,   3.87,      8.125,   58.57,   37.24,   4.58,     32.500,   25.25,  172.74,   5.32,    16.250,   32.14,   67.86,   4.18
           40,     20.250,   33.49,   81.15,   4.01,     10.125,   78.77,   34.50,   3.41,     40.500,   34.67,  156.79,   3.87,    20.250,   43.24,   62.85,   3.10
           48,     24.250,   46.43,   70.10,   2.89,     12.125,   85.84,   37.92,   3.13,     48.500,   45.87,  141.91,   2.93,    24.250,   52.32,   62.21,   2.57
           56,     28.250,   54.52,   69.54,   2.46,     14.125,  103.32,   36.70,   2.60,     56.500,   53.45,  141.87,   2.51,    28.250,   64.56,   58.73,   2.08
           64,     32.250,   46.57,   92.95,   2.88,     16.125,  126.11,   34.32,   2.13,     64.500,   66.51,  130.16,   2.02,    32.250,   73.15,   59.17,   1.83
           80,     40.250,   77.52,   69.69,   1.73,     20.125,  150.79,   35.83,   1.78,     80.500,   80.80,  133.72,   1.66,    40.250,   90.66,   59.59,   1.48
           96,     48.250,   86.43,   74.93,   1.55,     24.125,  191.84,   33.76,   1.40,     96.500,  104.35,  124.12,   1.29,    48.250,  108.93,   59.45,   1.23
          128,     64.250,  124.38,   69.33,   1.08,     32.125,  254.91,   33.83,   1.05,    128.500,  154.09,  111.93,   0.87,    64.250,  141.82,   60.81,   0.95
          192,     96.250,  194.73,   66.34,   0.69,     48.125,  392.80,   32.89,   0.68,    192.500,  263.92,   97.90,   0.51,    96.250,  224.60,   57.52,   0.60
          256,    128.250,  262.30,   65.62,   0.51,     64.125,  529.71,   32.50,   0.51,    256.500,  403.34,   85.35,   0.33,   128.250,  312.49,   55.08,   0.43
          512,    256.250,  465.60,   73.87,   0.29,    128.125,  865.80,   39.72,   0.31,    512.500,  841.52,   81.74,   0.16,   256.250,  489.95,   70.20,   0.27
         1024,    512.250,  794.15,   86.57,   0.17,    256.125, 1274.69,   53.94,   0.21,   1024.500, 1294.70,  106.21,   0.10,   512.250,  513.25,  133.96,   0.26
          17,      8.750,   13.33,   88.08,  10.07,      4.375,   68.77,   17.08,   3.90,     17.500,   13.68,  171.64,   9.81,     8.750,   33.53,   35.03,   4.00
           18,      9.250,   12.17,  102.03,  11.03,      4.625,   64.04,   19.39,   4.19,     18.500,    8.97,  276.93,  14.97,     9.250,   34.57,   35.91,   3.88
           20,     10.250,   13.72,  100.26,   9.78,      5.125,   66.88,   20.57,   4.01,     20.500,   21.51,  127.95,   6.24,    10.250,   31.76,   43.32,   4.23
           22,     11.250,   22.50,   67.11,   5.97,      5.625,   60.24,   25.07,   4.46,     22.500,   18.81,  160.51,   7.13,    11.250,   29.08,   51.92,   4.61
