flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
1                       0.45
2                       0.91
4                       1.79
8                       3.36
16                      6.98
32                     14.30
64                     29.21
128                    58.62
256                   111.22
512                   229.97
1024                  438.48
2048                  882.97
4096                 1652.17
8192                 2738.82
16384                3610.03
32768                4878.30
65536                5853.42
131072               6110.95
262144               6352.23
524288               6488.05
1048576              6522.43
2097152              6484.63
4194304              6471.19
flux-sample-13 flux-sample-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.57
1                      22.61
2                      22.49
4                      22.57
8                      23.21
16                     23.17
32                     23.22
64                     23.41
128                    23.22
256                    23.46
512                    23.47
1024                   24.02
2048                   25.13
4096                   28.31
8192                   34.22
16384                  36.21
32768                  40.81
65536                  48.37
131072                115.74
262144                138.32
524288                243.33
1048576               454.67
2097152               877.67
4194304              1668.34
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.25
4                       2.50
8                       4.97
16                      9.99
32                     20.04
64                     39.94
128                    78.87
256                   158.53
512                   314.45
1024                  619.40
2048                 1214.91
4096                 2234.75
8192                 3600.58
16384                4367.47
32768                5395.95
65536                6268.17
131072               6316.94
262144               6469.68
524288               6563.49
1048576              6578.91
2097152              6524.93
4194304              6487.04
flux-sample-13 flux-sample-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.75
1                      22.78
2                      22.77
4                      22.76
8                      23.40
16                     23.39
32                     23.38
64                     23.68
128                    23.45
256                    23.53
512                    23.69
1024                   24.25
2048                   25.39
4096                   28.64
8192                   34.31
16384                  36.53
32768                  41.10
65536                  48.58
131072                116.56
262144                139.83
524288                244.75
1048576               457.13
2097152               884.85
4194304              1678.94
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.22
4                       2.47
8                       4.88
16                      9.82
32                     19.56
64                     39.13
128                    77.94
256                   155.08
512                   309.24
1024                  607.90
2048                 1190.35
4096                 2221.26
8192                 3564.60
16384                4396.69
32768                5327.12
65536                6224.81
131072               6318.10
262144               6444.12
524288               6546.89
1048576              6569.41
2097152              6507.71
4194304              6483.56
flux-sample-13 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      38.72
1                      38.81
2                      38.80
4                      38.77
8                      39.53
16                     39.32
32                     39.57
64                     39.52
128                    39.63
256                    39.90
512                    40.38
1024                   41.12
2048                   42.66
4096                   46.06
8192                   52.85
16384                  56.23
32768                  62.10
65536                  71.49
131072                176.36
262144                199.79
524288                344.87
1048576               634.66
2097152              1222.16
4194304              2293.80
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.43
2                       0.86
4                       1.77
8                       3.56
16                      7.17
32                     14.71
64                     28.34
128                    56.65
256                   116.79
512                   216.12
1024                  451.12
2048                  860.40
4096                 1618.78
8192                 2767.61
16384                3761.82
32768                4864.32
65536                5904.75
131072               6110.88
262144               6379.18
524288               6499.62
1048576              6551.51
2097152              6501.37
4194304              6479.25
flux-sample-3 flux-sample-9
