Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
2097152             24634.42
4194304             24638.12
Point-to-point pairwise experiments for nodes cluster-256-hpc-76 cluster-256-hpc-112
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.59
4                       1.59
8                       1.59
16                      1.60
32                      1.75
64                      1.80
128                     1.86
256                     2.35
512                     2.47
1024                    2.60
2048                    2.82
4096                    3.49
8192                    4.01
16384                   5.31
32768                   6.79
65536                   8.84
131072                 13.52
262144                 17.25
524288                 27.93
1048576                49.59
2097152                93.04
4194304               177.37
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.80
2                       7.70
4                      15.55
8                      31.25
16                     61.90
32                    123.79
64                    244.64
128                   487.15
256                   919.33
512                  1724.95
1024                 3275.75
2048                 5953.45
4096                 9116.26
8192                13656.93
16384               19047.70
32768               21520.08
65536               23093.73
131072              23835.52
262144              24198.49
524288              24391.08
1048576             24496.12
2097152             24610.75
4194304             24596.83
Point-to-point pairwise experiments for nodes cluster-256-hpc-76 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.32
1                       1.32
2                       1.32
4                       1.32
8                       1.32
16                      1.32
32                      1.48
64                      1.52
128                     1.55
256                     2.06
512                     2.17
1024                    2.30
2048                    2.53
4096                    3.04
8192                    3.57
16384                   4.86
32768                   6.40
65536                   8.66
131072                 13.29
262144                 16.24
524288                 26.91
1048576                48.49
2097152                91.81
4194304               176.10
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       8.09
4                      16.24
8                      32.36
16                     64.61
32                    128.01
64                    252.07
128                   506.20
256                   948.47
512                  1802.94
1024                 3327.36
2048                 6107.67
4096                 9375.42
8192                13919.77
16384               19486.76
32768               21897.85
65536               23496.44
131072              24092.56
262144              24396.23
524288              24548.59
1048576             24546.21
2097152             24630.18
4194304             24500.70
