Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
128                     1.83
256                     2.33
512                     2.43
1024                    2.58
2048                    2.74
4096                    3.50
8192                    4.07
16384                   5.32
32768                   7.03
65536                   9.15
131072                 14.01
262144                 17.27
524288                 27.92
1048576                49.49
2097152                92.30
4194304               178.39
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.06
4                      16.08
8                      32.00
16                     63.52
32                    129.62
64                    249.96
128                   487.53
256                   949.33
512                  1796.89
1024                 3364.81
2048                 6064.44
4096                 9127.13
8192                13668.46
16384               18516.61
32768               21372.62
65536               22576.09
131072              23708.55
262144              24189.92
524288              24393.76
1048576             24364.89
2097152             24417.29
4194304             24410.96
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-20 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.62
1                       1.61
2                       1.62
4                       1.61
8                       1.61
16                      1.62
32                      1.75
64                      1.82
128                     1.89
256                     2.38
512                     2.50
1024                    2.61
2048                    2.78
4096                    3.53
8192                    4.12
16384                   5.34
32768                   6.83
65536                   9.22
131072                 14.12
262144                 17.28
524288                 27.94
1048576                49.41
2097152                92.05
4194304               177.55
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.86
2                       7.74
4                      15.40
8                      31.14
16                     61.78
32                    122.33
64                    244.80
128                   485.53
256                   910.71
512                  1692.94
1024                 3285.47
2048                 5933.11
4096                 9124.80
8192                13693.24
16384               18437.88
32768               21752.95
65536               23112.26
131072              23856.70
262144              24325.16
524288              24498.70
1048576             24606.49
2097152             24618.68
4194304             24673.48
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-29 cpu-cluster-hpc-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.56
4                       1.55
8                       1.55
16                      1.56
32                      1.71
64                      1.76
128                     1.80
256                     2.31
512                     2.41
1024                    2.56
2048                    2.72
4096                    3.45
8192                    3.96
16384                   6.12
32768                   6.77
65536                   9.10
131072                 14.02
262144                 17.09
524288                 27.74
1048576                49.30
2097152                91.84
4194304               177.27
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.07
2                       8.05
4                      16.08
8                      32.45
16                     64.88
32                    129.73
64                    245.50
128                   493.34
256                   945.05
512                  1775.59
1024                 3364.20
2048                 6017.83
4096                 9083.82
8192                13653.89
16384               18616.79
32768               21859.61
65536               23191.52
131072              23911.98
262144              24345.95
524288              24530.47
1048576             24612.35
2097152             24652.44
4194304             24674.02
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-29 cpu-cluster-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.58
8                       1.58
16                      1.58
32                      1.74
64                      1.78
128                     1.83
256                     2.33
512                     2.42
1024                    2.58
2048                    2.74
4096                    3.48
8192                    4.07
16384                   5.32
32768                   6.78
65536                   8.99
131072                 13.62
262144                 17.31
524288                 28.02
1048576                49.64
2097152                92.45
4194304               178.55
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.94
2                       8.14
4                      15.79
