Date,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Doha,C85C-4E19-F585,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Americas,C8EA-1A86-3D28,0.023,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sydney to Americas,CD2E-8A37-FA48,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Frankfurt,CE4A-8D2C-F3C2,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to EMEA,D011-1819-740D,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer In,D0CC-50DF-59D2,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Doha to Americas,D2DA-41CC-0B33,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (GPU cost),D307-D26E-76BC,696.153,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Americas,D72A-E5E4-973E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (CPU cost),DA21-2385-9025,"2,784.613",hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to EMEA,DFA5-B5C6-36D6,0.004,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Americas,E926-D07C-E1A4,608.132,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),ECCC-9EE4-AEE4,87.019,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Americas,EF89-EF79-A587,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Americas,F208-E30F-07D3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (RAM cost),F239-15CB-5B98,"10,442.3",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),FA27-F4A0-3EE3,"2,784.613",hour,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Singapore,FAD1-829C-5E63,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Australia,FDBC-6E3B-D4D8,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Kubernetes Engine,CCD8-9BF1-090E,Zonal Kubernetes Clusters,6B92-A835-08AB,5.183,hour,0.52,-0.52,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Network Private Service Connect Google Managed Service GKE Consumer Data Processing Primary,11AD-2790-7C4B,2.179,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,0.044,month,0.00,0.00,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,4.952,hour,0.05,-0.05,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,107,count,0.12,-0.12,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,107,count,0.09,-0.09,0.00,0.000000,0.00
2024-08-30,Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,107,count,0.12,-0.12,0.00,0.000000,0.00
2024-08-30,HPC VM Image (Rocky Linux 8),F041-C342-3F38,Licensing Fee for New Plan,9B45-C072-5DF4,2.142,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-29,Compute Engine,6F81-5844-456A,Nvidia Tesla V100 GPU running in Americas,DC0B-9926-40C5,334.807,hour,830.32,0.00,0.00,830.321209,830.32
2024-08-29,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,"1,354.045",hour,42.80,0.00,0.00,42.802712,42.80
