Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Americas,93F4-2190-D5EF,0.076,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer In,9C76-A3FB-C60A,"357,907.693",gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Melbourne to Americas,9D15-6012-1DD8,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to China,9DE9-9092-B3BC,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for CentOS 7 (RAM cost),9FB0-D8FF-0BAA,618.664,gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Middle East,A6C3-31B5-6D26,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Santiago to Americas,A881-8588-45B1,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Columbus to Americas,A9E6-10FA-84BE,0.174,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),ABD6-FF7B-A404,"2,171.698",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for CentOS 7 (CPU cost),AD76-ABD5-1D96,154.666,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (RAM cost),B0B5-6E19-13AE,"924,435.247",gibibyte hour,0.00,0.00,0.00,0.000000,0.00
